NXST_FLOW reply (xid=0x4):
 cookie=0x82630be6, duration=62377.995s, table=40, n_packets=1896, n_bytes=79632, idle_age=15, priority=110,metadata=0x1,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,41)
 cookie=0x94de662b, duration=62377.995s, table=40, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ipv6,reg15=0x1,metadata=0x1 actions=resubmit(,41)
 cookie=0x94de662b, duration=62377.995s, table=40, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ip,reg15=0x1,metadata=0x1 actions=resubmit(,41)
 cookie=0xd42e96ab, duration=62377.994s, table=40, n_packets=0, n_bytes=0, idle_age=62377, priority=110,metadata=0x1,dl_src=3e:0b:f3:45:d5:d7 actions=resubmit(,41)
 cookie=0xede23bda, duration=62377.994s, table=40, n_packets=140, n_bytes=14155, idle_age=24563, priority=0,metadata=0x1 actions=resubmit(,41)
 cookie=0xc8ea4543, duration=62377.994s, table=41, n_packets=0, n_bytes=0, idle_age=62377, priority=110,metadata=0x1,dl_src=3e:0b:f3:45:d5:d7 actions=resubmit(,42)
 cookie=0xdb4a49ad, duration=62377.994s, table=41, n_packets=1, n_bytes=42, idle_age=62362, priority=0,metadata=0x1 actions=resubmit(,42)
 cookie=0x5c090ac7, duration=62377.995s, table=42, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ipv6,reg0=0x4/0x4,metadata=0x1 actions=ct(table=43,zone=NXM_NX_REG13[0..15],nat)
 cookie=0x5c090ac7, duration=62377.995s, table=42, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ip,reg0=0x4/0x4,metadata=0x1 actions=ct(table=43,zone=NXM_NX_REG13[0..15],nat)
 cookie=0x36a30005, duration=62377.995s, table=42, n_packets=0, n_bytes=0, idle_age=62377, priority=100,ipv6,reg0=0x1/0x1,metadata=0x1 actions=ct(table=43,zone=NXM_NX_REG13[0..15])
 cookie=0x36a30005, duration=62377.995s, table=42, n_packets=139, n_bytes=14113, idle_age=24563, priority=100,ip,reg0=0x1/0x1,metadata=0x1 actions=ct(table=43,zone=NXM_NX_REG13[0..15])
 cookie=0xb7f3db91, duration=62377.994s, table=42, n_packets=1898, n_bytes=79764, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,43)
 cookie=0xb1bae801, duration=13.668s, table=43, n_packets=0, n_bytes=0, idle_age=13, priority=65535,metadata=0x1 actions=resubmit(,44)
 cookie=0x545335c8, duration=13.668s, table=44, n_packets=0, n_bytes=0, idle_age=13, priority=65535,metadata=0x1 actions=resubmit(,45)
 cookie=0x2b2c2ff2, duration=62377.995s, table=45, n_packets=2037, n_bytes=93877, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,46)
 cookie=0xbc11eaa6, duration=62377.994s, table=46, n_packets=2037, n_bytes=93877, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,47)
 cookie=0x57366251, duration=62377.995s, table=47, n_packets=15, n_bytes=1110, idle_age=62361, priority=100,ip,reg0=0x2/0x2002,metadata=0x1 actions=ct(commit,zone=NXM_NX_REG13[0..15],nat(src),exec(load:0->NXM_NX_CT_MARK[0])),resubmit(,48)
 cookie=0x57366251, duration=62377.995s, table=47, n_packets=0, n_bytes=0, idle_age=62377, priority=100,ipv6,reg0=0x2/0x2002,metadata=0x1 actions=ct(commit,zone=NXM_NX_REG13[0..15],nat(src),exec(load:0->NXM_NX_CT_MARK[0])),resubmit(,48)
